Turn,Type,CharacterId,Dialogue,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,AnswerId,LineOffset,FigureId,PrivisoId,DiaryId,Background,EffectSound,BGM
0,0,M4,자 여기가 빅데이터를 돌려서 박종우씨가 시신을 발견했을 당시를 재구현한 공간이야.,2,,,M0,0,M4,0,,,,,,,,
1,,,2/27 박종우씨가 발견한 바로 그 때지.,,,,,,,,,,,,,,,
2,,,현장조사팀에서 주요 공간이나 인물을 더 발견하는데로 추가될거야.,,,,,,,,,,,,,,,
3,,,의심되거나 찾고 싶은 부분을 조사해보자.,,,,,,,,,,,,,,,
4,,M0,"…
저 분은 박종우씨?",,,,,,,,,,,,,,,
5,,M4,"정확히는 여긴 가상세계고 저 인물은 AI지.
지금은 발견 당시를 예측하여 재구현한 상태이지만, 
그와 별개로 AI와 대화할 수 있는거 알잖아?",,,,,,,,,,,,,,,
6,,,"평소 이웃으로서 최정아씨를 어떻게 생각했는지, 무슨 일이 있었는지 등 정보를 얻을 수 있지.",,,,,,,,,,,,,,,
7,,,어쩌면 새로 알게 되는 단서가 있을지도 몰라.,,,,,,,,,,,,,,,
8,,M0,(Rasa에서 사용하는 AI는 모두 현실의 실존 인물을 모델학습한 결과야.),1,M0,0,,,,,,,,,,,,
9,,,"(해당 인물의 성격, 특성, 지식 등을 그대로 반영하고 있지.)",,,,,,,,,,,,,,,
10,,,(물론 [어떤 일이 일어났는지 사건 자체]에 대한 데이터까지는 남아있진 않지만…),,,,,,,,,,,,,,,
11,,,"(만약 범인의 AI라면, 사건이 일어난 후의 계산적인 행동은 할 수는 없어.)",,,,,,,,,,,,,,,
12,,,(AI는 사건의 대한 데이터가 없으니까.),,,,,,,,,,,,,,,
13,,,(사건의 영향으로 인한 [성격의 변화]는 반영될 수도 있지만.),,,,,,,,,,,,,,,
14,,,(일단 박종우씨가 최정아씨에 대해 어떻게 생각했는지부터 파악할 필요가 있어.),,,,,,,0,,,,,,,,
