Type,CharacterId,Dialogue,,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,,AnswerId,LineOffset,FigureId,FigureIdx,PrivisoId,PrivisoIdx,DiaryId,,TriggerObject,OpenDialogue,,Background,EffectSound,BGM
0,M4,이세영씨의 목격 정황 당시를 재구현한 공간이야 |AI도 그때 당시로 세팅해뒀어,,2,,,M4,0,M0,0,,,,,,,,,,,,,,,
0,M0,2/27 오전 8시경 |이세영씨는 집밖으로 나왔다가 곶 산책길 초입에 들어서는 최정아씨를 봤다고 했지,,,,,,,,,,,,,,,,,,,,,,,
0,,"그 이후 20분 경, 곶 꼭대기에서 그림자 하나",,,,,,,,,,,,,,,,,,,,,,,
0,,다시 10분 뒤 곶을 내려오고 있는 그림자 하나,,,,,,,,,,,,,,,,,,,,,,,
0,M4,정확해. |8시부터 8시 30분까지의 시간대.. |그리고 최정아씨의 사망 추정 시간은 8시부터 9시 사이지,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
