Turn,Type,SpeakingId,Dialogue,C1,C1illust,C2,C2illust,AnswerId,NextTurn,InfoId,InfoIdx,Background,EffectSound,BGM
0,0,M4,안녕하세요! 이 마을 이장님 맞으시죠?,M0,0,F3,0,,,,,,,
0,,,,,,,,,,,,,,
0,,M0,…조용히 해,,,,,,,,,,,
0,,,박종우씨는 여기에 자주 낚시하러 오시나요?,,,,,,,,,,,
,,,,,,,,,,,,,,
1,0,S1-3,으잉?? 이 마을에 젊은 아가씨들이 오다니 특이한 일이구만.,,,,,,,,,,,
1,,,그려 난 매일같이 여기에 낚시하러 오지.,,,,,,,,,,,
1,,,마을에 낚시터가 있어서 정말 다행이여.,,,,,,,,,,,
1,,,안그랬으면 이 재미없는 생활 더 지루해질 뻔했다니께..,,,,,,,,,,,
1,,,그거 아나? 내가 이 마을에서 가장 실력있는 낚시꾼일거여.,,,,,,,,,,,
1,,,당연하제! 난 하루도 거스르지 않고 낚시의 기술을 연마하고 있으니께!,,,,,,,,,,,
1,,,우리집 마누라는 허구한날 나간다고 뭐라고 하지만…|내가 고기라도 잡아오면 사실 누구보다 기뻐함시…|그래서 저번에는 내가 큰맘먹고…,,,,,,,,,,,
1,,,중얼중얼중얼…,,,,,,,,,,,
1,,M0,(큰일났다. 뭔 묻지도 않은 TMI를 남발하고 있어.) ,,,,,,,,,,,
1,,,그럼 박종우씨는 원래부터 여기서 사신 거에요?,,,,,,,,,,,
1,,S1-3,그렇지. 내가 이 마을 토박이여.,,,,,,,,,,,
1,,,"작은 마을이지만, 여기서 내가 모르는 사람은 없걸랑|마을에 경사나 행사가 있을 때도 항상 내가 도맡아서 한다고|내가 그 리더인 거지. L.E.A.D.E.R!|그 요즘 사람들 말로는 인싸라고 하제.",,,,,,,,,,,
1,,,인싸가 무슨 줄인 말인지 아나? I.N.S.I.D.E.R!|크하하하 뭔 시골 아저씨가 영어를 이렇게 잘 아는건가 할겨. 그치? 그치???,,,,,,,,,,,
1,1,M0,(안되겠다.) 저기 그러면!,,,,,A1-1,,,,,,
1,0,S1-3,으잉??,,,,,,,,,,,
1,,,…최정아?,,,,,,,,,,,
1,,,그그그그 그 할망구랑 아는 사인가???,,,,,,,,,,,
1,,M0,(뭐야. 갑자기 왜 이래),,,,,,,,,,,
1,,S1-3,흥. 그 여편네랑 친한 사람에게는 내가 해 줄 말이 없는디.,,,,,,,,,,,
1,,M4,(적대적으로 변했어. 다른건 몰라도 최정아씨와 그닥 친하지 않았다는건 확실하네.),,,,,,,,,,,
1,,M0,최정아씨랑 사이가 안좋았나요?,,,,,,,,,,,
