Turn,Type,SpeakingId,Dialogue,C1,C1illlust,C2,C2illust,AnswerId,NextTurn,InfoId,InfoIdx,TriggerObject,OpenDialogue,Background,EffectSound,BGM
0,0,M4,이세영씨는 아침 8시부터 밖에 나와서 뭘 하고 계셨던걸까?,M0,0,M4,0,,,,,,,,,
0,,M0,"그건 이제 알아내야겠지만, 나오셔서 다행이야",,,,,,,,,,,,,
0,,,덕분에 목격정황을 하나 알아낼 수 있었지,,,,,,,,,,,,,
0,,,그리고 지금 행동을 보면 화분을 관리하는 것 같은데,,,,,,,,,,,,,
0,,M4,왠지 식물들 상태가 엄청 좋더라니 아침 일찍부터 관리하고 계셨구나!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,0,S1-2,으흥~ 으흐흥~♬,S1-2,0,,,,,,,,,,,
1,,M0,(굉장히 기분 좋아 보이는군),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2,0,M4,와 식물들 상태가 너무 좋아보이는데 이건 다 세영씨가 키우신건가요?,S1-2,0,M4,0,,,,,,,,,
2,,,"특히 이 난, 꽃 피우기 어렵다고 하던데 진짜 대단하세요",,,,,,,,,,,,,
2,,S1-2,식물 좀 볼 줄 아는 아가씨인겨? |후후후 그 애 이름은 ~~이야,,,,,,,,,,,,,
2,,,3년동안 열심히 돌본 끝에 드디어 꽃을 피게 됐지,,,,,,,,,,,,,
2,,M0,(… RD에서 가장 중요한 능력치는 친화력인가?),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,1,M4,(자 이제 목격한 상황에 대해서 알아보자),S1-2,,,,A1-5,,,,,,,,
,,,,,,,,,,,,,,,,
4,0,S1-2,응??,,,,,,,,,,,,,
4,,,… 뭘 그런 것을 물어보는 것이여?? |정아할멈이랑 아는사이여?,,,,,,,,,,,,,
4,,M0,어..,,,,,,,,,,,,,
4,,S1-2,특이한 점이 없었냐고? ,,,,,,,,,,,,,
4,,,흥! 내가 정아할멈을 별로 안좋아하긴 해도 잘 모르는 사람에게 막 사람에 대한 정보를 알려줄 순 없제!,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,0,M4,서리야.. 모든 사람들이 박종우씨는 아니라고,M0,0,M4,0,,,,,,,,,
5,,,당연히 그렇게 물어보면 누가 말해주려고 하겠어?,,,,,,,,,,,,,
5,,,정보를 얻을때는 천천히 알아가야지,,,,,,,,,,,,,
5,,M0,아.. 다시 해볼게,,,,,,3,,,,,,,
,,,,,,,,,,,,,,,,
6,0,S1-2,그라치 여기가 엄청 좋은 곳이여,,,,,,,,,,,,,
