Turn,Type,SpeakingId,Dialogue,C1,C1illlust,C2,C2illust,AnswerId,NextTurn,InfoId,InfoIdx,Background,EffectSound,BGM
0,0,M0,박종우씨는 매일같이 이곳에 낚시하러 온다고 했죠?,M0,0,S1-3,0,,,,,,,
0,,S1-3,"그려, 다시 말하지만 내가..",,,,,,,,,,,
0,,M0,(끊어야해) |저 배도 원래부터 있었나요? |호수 위의 배 말이에요.,,,,,,,,,,,
0,,S1-3,응???? |어.. 그러고보니 아니여! 보트사업이 망한 뒤로 호수 위에 배가 뜬 적은 거의 없는디… |저건 무슨 배여?,,,,,,,,,,,
0,,M0,어제도 이곳으로 오셨겠죠?,,,,,,,,,,,
0,,S1-3,당근이제! 어제도 한 3시쯤에 낚시하러 왔구마!,,,,,,,,,,,
0,,M0,(2/26 오후 3시까지는 배가 떠있지 않았다?),,,,,,,,,,,
0,,S1-3,아 내가 어제 뭘 낚았는지 아는감? |~~~,,,,,,,,,,,
0,,,중얼중얼중얼중얼…,,,,,,,,,,,
0,,M0,(난 최정아씨가 왜 싫어했는지 조금을 알 것 같기도 해),,,,,,,,,,,
