Turn,Type,SpeakingId,Dialogue,C1,C1illust,C2,C2illust,AnswerId,NextTurn,InfoId,InfoIdx,Background,EffectSound,BGM
0,0,S1-3,으아아아아아아아아아아!!!,S1-3,0,,,,,,,,,
0,,,이.. 이게 뭐시여??? 이게 어찌된기가??,,,,,,,,,,,
0,,,저..저거저거 최정아 할멈 아녀????,,,,,,,,,,,
0,,,아니 지금 내가 이럴게 아니라 그그 뭘 불러야하제,,,,,,,,,,,
0,,,그려!!! 구급.. 구급차랑 또.. 겨ㅕㅕ겨 경찰차!,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,M4,박종우씨 잠깐 진정하세요! @일단 차분하게..,S1-3,0,M4,0,,,,,,,
1,,S1-3,으아아ㅏ아ㅏㅏ아ㅏ 누구여!!! 자네들 누군겨!! @정아 할멈을 저리 만든게 니들인겨??!?!? @이제 내 차례인겨??,,,,,,,,,,,
1,,M0,(아니 반응 이해는 되는데 심하잖아. @신고했던 게 용하군.),,,,,,,,,,,
1,,M4,경찰 조사팀입니다! @사건 접수를 받고 왔어요.,,,,,,,,,,,
1,,S1-3,어??,,,,,,,,,,,
1,,,흐아아아.. 경찰 선상님들이었구만.. @내 무서워 뒤지는줄 알아가꼬…,,,,,,,,,,,
1,,,잉?? 근디 나 아직 신고를 안했는디 어케 알고 찾아온거여?,,,,,,,,,,,
1,,M4,(대강 얼버무리자) 먼저 신고한 사람이 있었어요. @그것도 자 차분히 마음을 가라앉히세요. @저희가 왔으니 안심하셔도 됩니다.,,,,,,,,,,,
,,,,,,,,,,,,,,
2,,S1-3,흡..흐어엉어 고맙네 고마우이..,S1-3,0,,,,,,,,,
