Turn,Type,SpeakingId,Dialogue,C1,C1illust,C2,C2illust,AnswerId,NextTurn,InfoId,InfoIdx,Background,EffectSound,BGM
0,0,M4,최정아씨의 시신이야. 발견 당시 그대로 재구현해놓았지.,M0,0,M4,0,,,,,,,
0,,M0,아무리 가상 공간이라지만 사람을 두번 죽이는 것 같아서 좀 그렇네.,,,,,,,,,,,
0,,M4,어쩔 수 없는 일이야. @오히려 Rasa 덕분에 당시 상태를 계속 확인할 수 있다는게 더 좋은 거 아니겠어?,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,M4,일단 시신은 호수에 빠진 채로 발견됐어. @다행히 넓은 치마랑 겹겹히 입은 옷 때문에 공기층이 많아서 물 위로 뜬 것 같아.,,,,,,,,,B1,,
1,,M0,하얀 드레스에 자켓. 그리고 구두까지.. @굉장히 신경쓴 듯한 차림새네,,,,,,,,,,,
,,,심지어 다 고가 제품이야.,,,,,,,,,,,
,,,아무래도 원래 돈이 워낙 많던 분이니까 이정도는 평상시에 입는 편이었을까?,,,,,,,,,,,
,,,,,,,,,,,,,,
2,,M4,물에 빠져 발견되었다면 두 종류를 생각할 수 있지 @하나는 말 그대로 익사야 @그리고 다른 하나는..,M0,0,M4,0,,,,,,,
2,,M0,시체를 물 속으로 유기하려 했다.,,,,,,,,,,,
2,,M4,그래. 고전적인 수법이지.,,,,,,,,,,,
2,,,그나저나 이 시신의 상태..,,,,,,,,,,,
2,,M0,?,,,,,,,,,,,
2,,M4,… 아니야. 정확한 부검 결과는 내일에야 나올 것 같아.,,,,,,,,,,,
,,,,,,,,,,,,,,
3,,M4,하지만 겉보기엔 정말 온전한 시신이야,,,,,,,,,,,
3,,M0,별다른 외적 흔적도 보이지 않아. @보통 외부의 힘이 작용했다면 뿌리치려는 시도라도 했을텐데.,,,,,,,,,,,
3,,M4,응 마치 뭐랄까. 갑작스럽게 죽은 듯한 느낌이지?,,,,,,,,,,,
3,,M0,반대일수도 있지. 죽음을 예상하고 스스로 아무 행동도 하지 않았다던가.,,,,,,,P0,0,Map1-1,,
