Type,CharacterId,Dialogue,,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,,AnswerId,LineOffset,FigureId,FigureIdx,PrivisoId,PrivisoIdx,DiaryId,,TriggerObject,OpenDialogue,,Background,EffectSound,BGM
0,M10,아아.. 아..,,,,,,,,,,,,,,,,,,,,,,,
0,,<color=#4B64B0>서리야</color> 들리면 대답좀 해봐.,,,,,,,,,,,,,,,,,,,,,,,
0,,이상하게 요즘 통신 연결 잘 안된단 말야…,,,,,,,,,,,,,,,,,,,,,,,
0,,..ㄷ…려,,,,,,,,,,,,,,,,,,,,,,,
0,,응? 뭐라고?,,,,,,,,,,,,,,,,,,,,,,,
0,,…린다고. ㅅ.. 내 말.. ㅇ..들려?,,,,,,,,,,,,,,,,,,,,,,,
0,,…....,,1,M4,0,,,,,,,,,,,,,,,,,,,
0,,"노이즈가 심해.
이번 수사 끝나면 장치 점검을 한번 받아야겠어.",,,,,,,,,,,,,,,,,,,,,,,
0,,…....,,,,,,,,,,,,,,,,,,,,,,,
0,,…....배..,,,,,,,,,,,,,,,,,,,,,,,
0,,<color=#4B64B0>지아 선배</color>. 들리면 대답해.,,,,,,,,,,,,,,,,,,,,,,,
0,M4,어??,,,M4,,,,,,,,,,,,,,,,,,,,
0,,"아 이제 들린다!
연결 상태 확인……..
좋았어!",,,,,,,,,,,,,,,,,,,,,0,,
0,M0,"… 불안하게 그러지마. 
난 이게 첫 정식 임무여서 보기와 다르게 지금 매우 긴장한 상태니까.",,2,,,M0,0,M4,0,,,,,,,,,,,,,,,
0,M4,연결이 안되는게 내 탓도 아니고..,,,,,,,,1,,,,,,,,,,,,,,,
0,,…그렇네 이제 너도 정식 수사관이구나.,,,,,,,,0,,,,,,,,,,,,,,,
0,,뭔가 감격스럽네. 그치?,,,,,,,,,,,,,,,,,,,,,,,
3,M0,"…….
됐으니까 통신 상태부터 확인해봐.
아직도 연결이 잘 안돼?",,,,,,,,,,,,,,,,,,,,,,,
