Turn,Type,CharacterId,Dialogue,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,AnswerId,LineOffset,FigureId,PrivisoId,DiaryId,Background,EffectSound,BGM
0,0,4,"수사는 시작됐지만 아직 부검이 진행중이야.
정보가 적다는 건 치명적이네.",2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,0,0,"그래. 물속에 있었잖아.
아마 훼손도 심하겠지.",2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,0,4,일단 현장조사팀에서 조사한 내용과 사진을 토대로 주요 장소는 모두 프로그램 세팅이 끝났어.,2,,,4,0,0,0,,,,,,,,
3,0,4,그리고 무엇보다..,2,,,4,0,0,0,,,,,,,,
4,0,4,우리에겐 이 정보 부족을 해결할 엄청난 기술이 있잖아.,2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
5,0,0,최정아씨의.. AI말이지?,2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
6,0,4,"그래 고인의 AI는 아직 남아있으니까.
특히 이런 수사가 필요한 상황에서는 사용허가가 뜨잖아?",2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,0,0,…고인의 AI를 이용해서 시뮬레이션을 돌리는 것.,2,,,4,0,0,0,,,,,,,,
8,0,0,"그게 우리가 하는 수사방식이지.
AI에게 설정을 계속 바꿔가며 시뮬레이션을 돌리고, 궁극적인 사건의 진실에 도달한다.",2,,,4,0,0,0,,,,,,,,
9,0,0,확실히 이건 엄청난 도움이 돼.,2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,0,4,그래. 정말 엄청나고 대단한 기술이지!,2,,,4,0,0,0,,,,,,,,
11,0,4,서리 넌 자랑스러워해도 좋아. 그야 넌…,2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
12,0,0,"그 말이면 이미 선배한테 끊임없이 들었어.
그만해도 좋아.",2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
13,0,4,"넌 진짜 냉정하다니까.
내가 너였다면 만나는 모두에게 떠벌리고 다닐텐데.",2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
14,0,0,"대단한건 내 아버지지. 내가 아니잖아.
오히려 난 너무 평범하지.",2,,,4,0,0,0,,,,,,,,
15,0,0,…그야 난 완벽한 딸은 아니니까.,2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
15,0,4,….....,2,,,4,0,0,0,,,,,,,,
16,0,4,서리야.,2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
17,0,0,아 알겠어. 안한다고.,2,,,4,0,0,0,,,,,,,,
18,0,0,"……그나저나 고인의 AI를 사용한다는 건 뭐랄까.. 
객과적인 자료로 이 수사방식을 도입하고 나서, 확실히 전세계의 범죄율과 검거율은 50프로가 감소했어.",2,,,4,0,0,0,,,,,,,,
19,0,0,"하지만 시뮬레이션이잖아? 이 과정에서 고인은 몇번이고 다시 죽어.
다양한 방법으로 계속해서 그 고통을 다시 겪지.",2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,0,0,"물론 AI어서 실제 고통이 느껴지진 않겠지만, 그들에게 고통이라는 프로그래밍을 통해 같은 감정과 현상을 적용하지.",2,,,4,0,0,0,,,,,,,,
21,0,4,고통을 느끼고 그들이 어떻게 반응하거나 저항하는가 그것도 사건에 중요 실마리니까 말이지.,2,,,4,0,0,0,,,,,,,,
22,0,0,존재하지 않지만 분명히 느낀다는 거지.,2,,,4,0,0,0,,,,,,,,
23,0,0,처음엔 반대하는 사람도 많았다고해. 지금와서는 다들 익숙해진거겠지.,2,,,4,0,0,0,,,,,,,,
24,1,0,선배는 이 기술에 대해 어떻게 생각해?,2,,,4,0,0,0,A1-1-0,,,,,,,
,,,,,,,,,,,,,,,,,,
25,2,0,그치. 나도 결국 Rasa가 이세계에 이바지하고 있다고 생각해,2,,,4,0,0,0,,,,,,,,
25,2,0,"기술의 발전과 도덕성은 양면의 칼날이지.
하나가 오른다면, 다른 하나는 내려갈 수 밖에 없는 저울인거야.",2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
26,0,0,어찌됐던 수사관인 우리로서 피해자의 AI를 이용할 수 있다는 것은 좋은 일이야.,2,,,4,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
27,0,4,"가장 먼저 해야하는 일이기도 하지.
부검 결과는 내일에야 나올거야.
일단 최정아씨의 AI를 준비해놨어. 가서 대화를 통해 정보를 얻어보자.",2,,,4,0,0,0,,,,,,,,
28,0,4,"아, 당연히 알고있겠지만 현재 Rasa에서 AI와 나누는 대화는 동기화되지 않으니까.
마음껏 물어보라고.",2,,,4,0,0,0,,,,,,,,
29,0,4,데이터를 오염시킬 걱정은 없어.,2,,,4,0,0,0,,,,,,,,
