Turn,Type,CharacterId,Dialogue,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,AnswerId,LineOffset,FigureId,PrivisoId,DiaryId,Background,EffectSound,BGM
0,0,M4,2/27 오후 5시경 박종우씨는 여기서 이렇게 낚시를 하려다가 시신을 발견했어.,1,M4,0,,,,,,,,,,,,
1,,,자 박종우 AI와 대화를 해보자. ,,,,,,,,,,,,,,,
2,,,"여긴 가상세계고 저 인물은 AI야.
지금은 발견 당시를 예측하여 재구현한 상태이지만, 
그와 별개로 AI와 대화할 수 있는거 알잖아?",,,,,,,,,,,,,,,
3,,,어쩌면 새로 알게 되는 단서가 있을지도 몰라.,,,,,,,,,,,,,,,
4,,M0,(Rasa에서 사용하는 AI는 모두 현실의 실존 인물을 모델학습한 결과야.),,M0,,,,,,,,,,,,,
5,,,"(해당 인물의 성격, 특성, 지식 등을 그대로 반영하고 있지.)",,,,,,,,,,,,,,,
6,,,(물론 \i어떤 일이 일어났는지\i 사건 자체에 대한 데이터까지 남아있진 않지만…),,,,,,,,,,,,,,,
7,,,"(만약 범인의 AI라면, 사건이 일어난 후의 계산적인 행동은 할 수는 없어.)",,,,,,,,,,,,,,,
8,,,(AI는 사건의 대한 데이터가 없으니까.),,,,,,,,,,,,,,,
9,,,(사건의 영향으로 인한 \i성격의 변화\i는 반영될 수도 있지만.),,,,,,,,,,,,,,,
10,,,(일단 박종우씨가 최정아씨에 대해 어떻게 생각했는지부터 파악할 필요가 있어.),,,,,,,0,,,,,,,,
11,,,음… 안녕하세요?,2,,,M0,0,S1-3,,,,,,,,,
12,,M4,"아하하하 AI에게 인사한다는게 쉽지는 않지?
괜찮아 우리는 이 세계에서 뒤돌면 잊어버릴 그냥 시스템 같은거야.",,,,M4,,,,,,,,,,,
13,,M0,…조용히 해,,,,M0,,,,,,,,,,,
14,,,박종우씨는 여기에 자주 낚시하러 오시나요?,,,,,,,,,,,,,,,
15,,S1-3,으잉?? 이 마을에 젊은 아가씨들이 오다니 특이한 일이구만.,,,,,,,,,,,,,,,
16,,,그려 난 매일같이 여기에 낚시하러 오지.,,,,,,,,,,,,,,,
17,,,마을에 낚시터가 있어서 정말 다행이여.,,,,,,,,,,,,,,,
18,,,안그랬으면 이 재미없는 생활 더 지루해질 뻔했다니께..,,,,,,,,,,,,,,,
19,,,그거 아나?? 내가 이 마을에서 가장 실력있는 낚시꾼일거여.,,,,,,,,,,,,,,,
20,,,당연하제! 난 하루도 거스르지 않고 낚시의 기술을 연마하고 있으니께!,,,,,,,,,,,,,,,
21,,,"우리집 마누라는 허구한날 나간다고 뭐라고 하지만…
내가 고기라도 잡아오면 사실 누구보다 기뻐함시...
그래서 저번에는 내가 큰맘먹고…",,,,,,,,,,,,,,,
,,,중얼중얼중얼…,,,,,,,,,,,,,,,
22,,M0,(큰일났다. 뭔 묻지도 않은 TMI를 남발하고 있어.) ,,,,,,,,,,,,,,,
,,,박종우씨는 원래부터 여기서 사신 거에요?,,,,,,,,,,,,,,,
,,S1-3,그렇지. 내가 이 마을 토박이여.,,,,,,,,,,,,,,,
,,,"작은 마을이지만, 여기서 내가 모르는 사람은 없걸랑.
마을에 경사나 행사가 있을 때도 항상 내가 도맡아서 한다고.
내가 그 리더인 거지. L.E.A.D.E.R!
그 요즘 사람들 말로는 인싸라고 하제.",,,,,,,,,,,,,,,
,,,"인싸가 무슨 줄인 말인지 아나? I.N.S.I.D.E.R!
크하하하 뭔 시골 아저씨가 영어를 이렇게 잘 아는건가 할겨. 그치? 그치???",,,,,,,,,,,,,,,
,,M0,(안되겠다.) 저기 그러면!,,,,,,,,A1-1,,,,,,,
,,S1-3,으잉??,,,,,,,,,,,,,,,
,,,방금 ,,,,,,,,,,,,,,,
