Type,CharacterId,Dialogue,CharacterNum,MCharacter,MCIllust,Lcharacter,LCIllust,RCharacter,RCIllust,BGM,EffectSound
0,4,아아.. 아..,0,,,,,,,,
0,4,서리야 어때? 내 말 잘 들려?,0,,,,,,,,
0,4,"요즘 통신이 잘 안되는지, 버벅거릴 때가 많단 말야…",0,,,,,,,,
0,0,…들려 선배,0,,,,,,,,
0,4,아! 다행이다,1,4,0,,,,,,
0,4,좋아. 그럼.. 오늘 수사를 바로 시작해볼까?,2,,,4,0,0,0,,
2,4,일단 이번 피해자랑 용의자 정보는 받았지? 한번 확인해볼래?,2,,,4,0,0,0,,
0,4,"그래 우리는 매번 정보를 확인하고 갱신하는게 필수라고.
잊지 말고 헷갈리거나 궁금한 게 있으면 바로 찾아봐.",2,,,4,0,0,0,,
0,4,데이터베이스는 우리가 정보를 얻으면 바로바로 동기화되니까.,2,,,4,0,0,0,,
0,4,…이번 사건은 배우자 살해사건이네,2,,,4,1,0,0,,
0,4,용의자 김인우씨는 피해자 최정아씨의 남편이야.,2,,,4,0,0,0,,
