Turn,Type,SpeakingId,Dialogue,C1,C1illust,C2,C2illust,AnswerId,NextTurn,InfoId,InfoIdx,Background,EffectSound,BGM
0,0,M0,turn0 - 0,M0,0,,,,,P0,1,,,
0,,M4,turn0 - 1,,,,,,,P0,0,,,
0,,M5,turn0 - 1,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,M4,turn1,M0,0,M4,0,,,,,,,
,,,,,,,,,,,,,,
2,,M4,turn2,M0,0,,,,,,,,,
,,,,,,,,,,,,,,
3,,M0,turn3,M0,1,M5,0,,,,,,,
,,,,,,,,,,,,,,
4,,,turn4,M4,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,,,turn5,M0,,M4,,,,,,,,
,,,,,,,,,,,,,,
6,,,turn6,M4,,M5,,,,,,,,
,,,,,,,,,,,,,,
7,,,turn7,M0,,M4,,,,,,,,
,,,,,,,,,,,,,,
8,,,turn8,M5,,S1-0,,,,,,,,
